acestream-engine 3.2.11-1
acestream-launcher 2.1.0-4
ani-cli 4.10-1
anydesk-bin 8.0.2-1
asusctl 6.3.6-1
asusctl-debug 6.3.6-1
brave-bin 1:1.88.138-1
cursor-bin 3.0.12-1
decklink-sdk 1:15.3-1
dracula-cursors-git 4.0.0.r128.gb6eb426-1
dsearch-bin 0.2.1-1
dsearch-bin-debug 0.2.1-1
dxvk-bin 2.7.1-1
exif 0.6.22-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-3
google-breakpad v2024.02.16-2
hashid v3.1.4+16+7e8473-1
heroic-games-launcher-bin 2.20.1-1
jdtls 1.57.0-1
legendary 0.20.34-3
libva-vdpau-driver 0.7.4-7
localepurge 0.7.3.11-1
matugen-bin 4.1.0-1
nam 1.15-8
ocrs 0.12.2-1
ocrs-debug 0.12.2-1
onlyoffice-bin 9.3.1-1
open 0.0.3-1
otcl 1.14-7
python-acestream 0.2.0-4
python-cached-property 2.0.1-1
python-gpustat 1:1.1.1-1
python-pylspci 0.4.3-1
python-rpi-gpio 0.7.1-3
python310 3.10.19-1
spicetify-cli 2.42.14-1
spotify 1:1.2.84.476-1
stremio-service-bin 0.1.15-1
visual-studio-code-bin 1.114.0-1
vkd3d-proton-bin 3.0.b-1
yay 12.5.7-1
yay-debug 12.5.7-1
zen-browser-bin 1.19.5b-1
zsh-fast-syntax-highlighting 1.56-1
