accountsservice 26.12.8-1
acestream-engine 3.2.11-1
acestream-launcher 2.1.0-4
adw-gtk-theme 6.4-1
alsa-utils 1.2.15.2-2
android-tools 35.0.2-25
android-udev 20250525-1
ani-cli 4.10-1
anydesk-bin 8.0.2-1
arp-scan 1.10.0-4
arpack 3.9.1-3
asusctl 6.3.6-1
base 3-3
base-devel 1-2
bash-language-server 5.6.0-1
bashbrew 0.1.13-1
bat 0.26.1-2
bettercap 2.41.5-1
bind 9.20.22-1
biome 2.3.15-2
bluez 5.86-4
bluez-utils 5.86-4
bore 0.6.0-2
brave-bin 1:1.88.138-1
brightnessctl 0.5.1-3
btop 1.4.6-2
cava 0.10.7-1
chafa 1.18.1-1
cli11 2.6.2-1
clinfo 3.0.25.02.14-1
cliphist 1:0.7.0-2
cpio 2.15-3
cups-pk-helper 0.2.7-2
cursor-bin 3.0.12-1
dart-sass 1.99.0-1
decklink-sdk 1:15.3-1
dgop 0.2.2-1
dmidecode 3.7-1
dms-shell 1.4.4-7
dms-shell-hyprland 1.4.4-7
dms-shell-niri 1.4.4-7
dnf5 5.2.17.0-6
docker 1:29.3.1-1
docker-compose 5.1.1-1
dracula-cursors-git 4.0.0.r128.gb6eb426-1
dsearch-bin 0.2.1-1
dxvk-bin 2.7.1-1
efibootmgr 18-3
exfatprogs 1.3.2-1
exif 0.6.22-1
expac 10-12
eza 0.23.4-3
fastfetch 2.61.0-1
foot 1.26.1-1
fuse2 2.9.9-5
fuseiso 20070708-9
fzf 0.71.0-1
gamemode 1.8.2-2
gdb 17.1-3
git 2.53.0-1
git-lfs 3.7.1-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-3
gnome-bluetooth-3.0 47.1-3
gnome-keyring 1:48.0-1
gnome-themes-extra 1:3.28-1
go 2:1.26.1-1
google-breakpad v2024.02.16-2
gpu-screen-recorder 5.12.5-1
grim 1.5.0-2
gst-libav 1.28.1-2
gst-plugin-va 1.28.1-2
gst-plugins-bad 1.28.1-2
gst-plugins-good 1.28.1-2
gum 0.17.0-1
gvfs 1.58.3-1
gvfs-afc 1.58.3-1
gvfs-gphoto2 1.58.3-1
gvfs-mtp 1.58.3-1
hashcat 1:7.1.2-2
hashid v3.1.4+16+7e8473-1
helix 25.07.1-1
heroic-games-launcher-bin 2.20.1-1
htop 3.4.1-1
intel-media-driver 25.4.6-1
intel-ucode 20260227-1
iotop 0.6-13
jdk21-openjdk 21.0.10.u7-1
jdtls 1.57.0-1
jq 1.8.1-1
kdeconnect 25.12.3-1
legendary 0.20.34-3
less 1:692-1
lib32-gnutls 3.8.12-1
lib32-vkd3d 1.19-1
lib32-vulkan-intel 1:26.0.4-1
libgexiv2 0.14.6-2
libva-intel-driver 2.4.1-6
libva-utils 2.22.0-1
libva-vdpau-driver 0.7.4-7
linux 6.19.11.arch1-1
linux-firmware 20260309-1
linux-headers 6.19.11.arch1-1
lldb-mi 0.0.1-7
localepurge 0.7.3.11-1
lsof 4.99.6-1
mariadb 12.2.2-2
matugen-bin 4.1.0-1
maven 3.9.14-1
mediainfo 26.01-1
mesa-utils 9.0.0-7
meson 1.10.2-1
mono 6.12.0.206-1
mpv 1:0.41.0-3
mpv-mpris 1.2-1
nam 1.15-8
nautilus 49.5-1
net-tools 2.10-3
networkmanager 1.56.0-1
networkmanager-l2tp 1.52.0-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-7
networkmanager-strongswan 1.6.4-1
networkmanager-vpnc 1.4.0-2
nicotine+ 3.3.10-2
ninja 1.13.2-3
niri 25.11-2
noto-fonts 1:2026.04.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.04.01-1
nvidia-open 595.58.03-3
nvidia-prime 1.0-5
nvidia-settings 595.58.03-1
nvidia-utils 595.58.03-1
nvtop 3.3.2-1
ocrs 0.12.2-1
onlyoffice-bin 9.3.1-1
open 0.0.3-1
opencl-nvidia 595.58.03-1
opengl-man-pages 20260126-1
opus-tools 0.2-7
pacman-contrib 1.13.1-1
pamixer 1.6-3
parallel 20260322-1
pavucontrol 1:6.2-1
perl-json-xs 4.04-1
perl-xml-parser 2.52-1
perl-yaml-libyaml 0.904.0-2
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
playerctl 2.4.1-5
pnpm 10.33.0-1
podman-compose 1.5.0-2
postgresql 18.3-2
power-profiles-daemon 0.30-1
powertop 2.15-2
python-dateutil 2.9.0-8
python-gpustat 1:1.1.1-1
python-lsp-server 1.14.0-2
python-pip 26.0.1-1
python-pipx 1.11.1-1
python-pylspci 0.4.3-1
python-requests 2.33.1-1
python-rpi-gpio 0.7.1-3
python-virtualenv 21.2.0-1
qbittorrent 5.1.4-2
qt6ct 0.11-5
quickshell 0.2.1-6
rclone 1.73.3-1
reflector 2023-5
retext 8.1.0-2
rsync 3.4.1-2
samba 2:4.24.0-1
scrcpy 3.3.4-1
slurp 1.5.0-1
sof-firmware 2025.12.2-1
sox 14.7.1.2-1
spicetify-cli 2.42.14-1
spotify 1:1.2.84.476-1
sqlmap 1.10.3-1
sshfs 3.7.5-1
starship 1.24.2-2
stow 2.4.1-1
stremio-service-bin 0.1.15-1
swayimg 5.1-2
telegram-desktop 6.7.2-1
terminus-font 4.49.1-8
tesseract 5.5.2-1
tesseract-data-eng 2:4.1.0-4
texlive-basic 2026.1-1
texlive-bibtexextra 2026.1-1
texlive-binextra 2026.1-1
texlive-context 2026.1-1
texlive-fontsextra 2026.1-1
texlive-fontsrecommended 2026.1-1
texlive-fontutils 2026.1-1
texlive-formatsextra 2026.1-1
texlive-games 2026.1-1
texlive-humanities 2026.1-1
texlive-latex 2026.1-1
texlive-latexextra 2026.1-1
texlive-latexrecommended 2026.1-1
texlive-luatex 2026.1-1
texlive-mathscience 2026.1-1
